name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Rogers, Carly K.",28.32,55.63,109.82,115.88,138.08,170.25,203.37,236.17,250.13,9.55,20066,8054,4243,29,F,USA,MA,Boston,31928
"Schoonover, Sarah J.",28.73,55.98,119.67,126.27,153.95,196.05,229.67,265.65,281.45,10.75,24998,10727,5209,34,F,USA,MA,Newton,31929
"Shields, Samuel S.",30.0,59.92,120.97,127.68,153.6,188.1,226.97,266.95,283.33,10.82,25263,14384,4885,23,M,USA,MA,Haverhill,31930
"Borrero, Kristin L.",23.05,47.17,96.88,102.48,122.63,150.15,178.77,208.18,220.42,8.42,12542,3749,2568,25,F,USA,MA,Boston,31931
"Payack, Peter P.",28.07,53.68,106.63,112.88,135.7,167.9,202.75,240.47,257.25,9.82,21354,12567,4369,26,M,USA,MA,Cambridge,31932
"Gosselin, Christopher M.",34.37,69.9,148.93,157.47,193.58,239.13,283.92,327.27,344.48,13.15,30351,16872,5712,34,M,USA,MA,Charlestown,31933
"Mead, Rachael",34.4,69.4,139.13,146.68,176.08,218.9,271.2,312.83,328.12,12.52,29390,12983,6294,34,F,USA,MA,Ayer,31934
"Gordon, Kenneth J.",34.4,70.18,149.4,157.4,193.62,243.43,293.4,343.4,363.17,13.87,31040,17182,2423,50,M,USA,MA,Newton,31935
"Boczkowski, Ona C.",31.15,61.77,125.25,131.82,156.37,190.7,226.53,263.3,278.97,10.65,24658,10542,5126,34,F,USA,MA,Boston,31936
"Hau, Stephen S.",27.32,56.1,118.45,125.4,151.33,185.02,220.4,254.53,269.38,10.28,23359,13516,2120,42,M,USA,MA,Somerville,31937
"Avila, Cecille Joan D.",28.35,56.67,117.02,123.52,147.53,179.58,212.13,243.08,256.65,9.8,21258,8731,4444,23,F,USA,MA,Arlington,31938
"Kearns, Evan D.",25.42,50.38,101.08,106.62,126.67,151.8,177.3,203.0,213.97,8.17,10529,7838,3481,33,M,USA,MA,Newton,31939
"Costello, Meaghan A.",33.98,68.55,142.93,150.47,183.67,221.98,260.98,300.13,315.55,12.05,28522,12523,6044,39,F,USA,MA,Dedham,31940
"Bresnahan, David J.",29.05,57.38,115.95,122.15,146.25,177.63,212.88,247.25,261.85,10.0,22144,12947,2324,46,M,USA,MA,Newton,31941
"Kelly, Joanie",24.67,50.22,104.17,110.15,132.85,162.83,194.02,224.4,236.92,9.05,17253,6464,981,47,F,USA,MA,Watertown,31942
"Baldwin, Andy",23.07,45.02,89.82,94.7,113.35,137.48,161.88,185.93,196.55,7.5,5598,4913,2781,37,M,USA,CA,La Jolla,31943
"Buckman, Lindsey R.",35.65,76.97,162.43,171.57,212.67,264.5,315.2,365.9,386.82,14.77,31550,14141,6876,36,F,USA,AZ,Phoenix,31944
"Peloquin, Kerri A.",32.68,66.42,142.98,150.47,183.72,228.73,283.18,325.87,344.25,13.13,30337,13472,2180,46,F,USA,MA,Milton,31945
"Young, Cissy S.",32.2,64.72,133.72,141.2,171.85,211.62,256.77,298.98,318.05,12.13,28710,12617,2082,45,F,USA,MA,Waban,31946
"Kouroriez, Francois M.",28.02,54.9,108.27,114.1,135.22,164.73,197.4,227.85,239.75,9.15,18016,11147,1854,44,M,USA,MA,Newton,31947
"Wynne, Jill C.",28.55,56.83,114.95,121.43,145.82,180.23,217.03,254.13,271.9,10.38,23732,10050,1737,42,F,USA,CA,San Francisco,31948
"Sebelius, Edward K.",29.07,57.72,117.67,124.08,149.15,183.0,218.1,253.55,268.25,10.23,23186,13437,4614,32,M,USA,DC,Washington,31949
"Dumke, Ralph W.",31.0,62.57,125.13,131.68,155.47,189.4,220.7,260.83,279.85,10.68,24791,14173,1416,56,M,USA,FL,Palm Coast,31950
"Downs, Anthony",34.38,69.4,138.45,145.33,171.4,209.22,249.98,290.93,308.75,11.78,27990,15729,2245,53,M,USA,MA,Sherborn,31951
